id,5,E,I,O,U,a,e,i,o,u
1,,,0.04,,,,,0.103724000271766,,
2,,,0.04,,,,,0.117483306430266,,
3,,,,,0.037573489894365,,,,,
4,,,,,,,,,,0.104253204354785
5,0.064562898128344,,,,,,,,,
6,,,,,,,,0.078217360110056,,
7,0.058741653215133,,,,,,,,,
8,,,,0.092610714528362,,,,,,
9,,,,,,,0.074617775705711,,,
10,0.046569959305693,,,,,,,,,
11,,,,,,0.049745183803808,,,,
12,0.038102693977383,,,,,,,,,
13,,,,,,,0.071442551207593,,,
14,,,,,,0.123833755426499,,,,
15,0.057683245049095,,,,,,,,,
16,,,,,,,0.074617775705711,,,
17,,,,0.084672653283075,,,,,,
18,0.04604075522267,,,,,,,,,
19,,,,,,0.118541714596304,,,,
20,,,,,,0.139180673834055,,,,
21,,0.089435490030248,,,,,,,,
22,0.048157571554754,,,,,,,,,
23,,,,,,,0.085731061449117,,,
24,,0.131771816671787,,,,,,,,
25,,,,,,,0.096844347192516,,,
26,,,,,,,0.085201857366094,,,
27,,,,,,0.074617775705711,,,,
28,,,,0.078851408369864,,,,,,
29,,0.094727530860439,,,,,,,,
30,,0.134417837086886,,,,,,,,
31,,,,,,0.094727530860446,,,,
32,0.064562898128344,,,,,,,,,
33,,0.065621306294382,,,,,,,,
34,,,,,,,0.111132857434036,,,
35,,,,,,,0.088906285947225,,,
36,,0.126479775841595,,,,,,,,
37,,,,,,0.097902755358554,,,,
38,,,,,0.057154040966076,,,,,
39,,,,,,,,,0.096315143109507,
40,,0.106370020686867,,,,,,,,
41,,,,,,,,0.084143449200056,,
42,,,,,,0.094727530860439,,,,
43,0.058212449132114,,,,,,,,,
44,,,,,,,,,0.09843195944157,
45,,,,0.145001918747269,,,,,,
46,,,,,,,,0.110603653351006,,
47,,,,,,,,0.096844347192516,,
48,,,,,0.035985877645302,,,,,
49,,,,0.091552306362317,,,,,,
50,0.065092102211366,,,,,,,,,
51,,,,,,,0.106899224769876,,,
52,0.061387673630236,,,,,,,,,
53,,,,,,0.103724000271768,,,,
54,0.052391204218907,,,,,,,,,
55,,,,,,,,,0.069854938958542,
56,,,,,,0.105311612520822,,,,
57,,,,,0.049215979720785,,,,,
58,,,,,,,,,0.107428428852899,
59,,,,0.078851408369857,,,,,,
60,0.07567618387175,,,,,,,,,
61,,0.104253204354791,,,,,,,,
62,,,,,,,,,0.097373551275538,
63,,,,,,0.153469184075576,,,,
64,,,,,,0.127008979924611,,,,
65,,,,,0.032810653147195,,,,,
66,,0.095256734943462,,,,,,,,
67,0.06297528587929,,,,,,,,,
68,,,,,,0.116424898264228,,,,
69,,,,,,,0.112191265600075,,,
70,0.041277918475487,,,,,,,,,
71,,,,,,,,0.100295059430991,,
72,,,,,,,,0.068004942736124,,
73,,,,,,0.116929361970747,,,,
74,0.044521221503516,,,,,,,,,
75,0.070940407890205,,,,,,,,,
76,,,,,,0.122311048086559,,,,
77,0.064090989197354,,,,,,,,,
78,,,,,,,,0.049902907619313,,
79,,,,,0.049413663426975,,,,,
80,,,,,,0.145305525126815,,,,
81,,,,,,,,,0.090020931391706,
