id,phoneme,time,duration,F0,F1,F2,F3,F4
1,e,2.0751764960937407,0.09077753193915727,126.07960479738836,351.999418454772,1858.4541348385023,2512.6134956686947,3407.5625569236277
2,a,4.138301379022296,0.10218672994243948,117.03302986773441,508.32736137838805,1608.682017809291,2449.280359261898,3500.528696737761
3,E,6.15388464401907,0.10218672994243948,116.42986694694326,488.2829704432742,1630.3842243486988,2239.3960380844555,3406.749928473704
4,o,8.2511367085039,0.1537761470007588,115.39230628750805,404.4598901225052,854.8394364915829,2503.120822539497,3468.5746979433234
5,a,10.350315477274657,0.12004460507801085,120.08150344786519,590.7123191150021,1552.115605897777,2490.218940864269,3766.4227773031216
6,5,10.588065166921211,0.03968416696793753,120.74690975983187,346.0444834348891,1737.562559570832,2704.376322050234,3600.9560446914916
7,a,12.264704964846615,0.06795913593259327,112.46431949201005,636.4555298586629,1284.336439551078,2288.289652581087,3473.143614450479
8,5,12.468542893515385,0.052581521232516686,116.10681219686326,395.0905782105279,1532.9024629916992,2306.335295700049,3236.6475389853167
9,i,14.320547407156413,0.08234464645846984,118.32592415886069,304.04133015543795,2012.1639540359574,2553.0247194369003,3083.0901351824605
10,i,16.243904887253436,0.06696703175839502,120.02230181456596,277.6759790042856,2113.7549300446,2869.584819117363,3358.8172294556757
11,e,18.276174552499967,0.08432885480686636,115.39010162446418,388.15819355125154,1905.1820561921663,2463.4500556075127,3293.4594356948987
12,o,20.349339338729273,0.0967301569843464,117.83932606428729,487.53883366902136,1253.8868616102634,2434.329040840774,3385.2296346668845
13,i,22.391947139546925,0.09623410489724547,118.35452916148725,332.0159664891115,2062.2916021638057,2687.5305020637998,3410.5367050399936
14,a,24.424395751333357,0.1205406571651082,113.00767544107096,572.6278019145417,1188.6443734594332,2532.1619213798385,3759.3965169974535
15,5,24.58335211738915,0.05406967749381408,117.05315871568814,417.8139078743082,1443.4432892904567,2413.545738809427,3514.1256300111722
16,o,26.681160743113942,0.08978542776495857,118.11673055903611,431.6105751647105,961.6088195558425,2257.7722825566684,3417.9673641333734
17,a,28.59826694172376,0.11260382377152213,114.67162507366415,552.5884753816564,1418.2990529469153,2215.648205135369,3301.3432662902574
18,I,28.891613944254434,0.033235489835647065,99.75820408843543,263.65358454629956,1529.830507473488,2630.9832344435354,3802.1340629980173
19,O,30.717823325194626,0.0967301569843464,118.32580013193032,533.4927837818688,1189.3240068219234,2152.6620941467495,3200.0711728218716
20,5,30.926007285260265,0.05555783375511325,110.94544077860108,394.76730478370195,1464.5370721971574,2239.077423181228,3171.156304264538
21,i,32.78495652812072,0.08780121941656205,116.32866641445327,307.74282558072946,2096.358058512564,2612.83617750575,3214.027511205453
22,5,32.96303922738936,0.08730516732946114,109.71932554122537,328.0749167976006,1876.1487213107466,2606.290207569524,3590.9704089806382
23,a,34.77506176596391,0.10367488620373423,115.31056417812027,543.138828134649,1415.7042275673514,2328.079060031081,3511.922395360396
24,5,35.00808780951352,0.07887228184877415,104.5272685184334,350.8031739432266,1744.170666124365,2562.494375274183,3388.473662308042
25,e,37.17268582886026,0.1116117195973274,121.15237212748626,346.70334120442425,1894.7066502715895,2486.3812812419837,3403.9655064807616
26,e,39.34400884335404,0.11409198003281773,120.73452145985779,354.6249455467707,1823.057432092308,2404.419164887618,3443.0933716224117
27,a,41.26351634414125,0.1294695947328961,114.68519740778818,585.7232182546638,1364.5142187546808,2506.9348136161975,3727.6174573186768
28,U,41.55831202380421,0.038692062793735715,102.92620761783834,260.78632624702266,1581.153306164058,3011.675083674541,3597.0289530608625
29,E,43.47075550964157,0.07837622976167324,117.28042595938741,446.6314692886621,1859.2174708259224,2522.7196746926525,3665.779532073253
30,5,43.784717001646364,0.06647097967129413,104.32324619590406,327.0869315352944,1712.243297016613,2485.8845596626074,3298.650814219057
31,E,45.59654129623232,0.09772226115854464,119.76817583296217,460.9231718884292,1893.4252360907187,2508.6835366204186,3572.1296384258944
32,5,45.87070018388214,0.058534146277708025,113.40819600967308,359.5527475131634,1715.3802092872893,2440.7557484447275,3584.6927582996827
33,E,47.805922162425304,0.11855644881671168,112.57845143955717,437.1071460980814,1717.2790543698472,2343.396490530625,3602.7421041155344
34,O,49.965500424263354,0.08879332359076386,116.40821252475439,510.0565292432973,1116.7437473862772,2206.956610816331,3214.410525343456
35,5,50.227555817834315,0.05109336497122285,107.86782468393348,337.4586708632486,1759.5877332721502,2506.747412396864,3406.519671655646
36,u,52.22478515560834,0.058038094190607126,122.02710978941174,316.6280543011923,1165.8855194139003,2214.437272238612,3417.1127216247296
37,5,52.43064677175451,0.05406967749381408,113.16603511711916,320.54296827048375,1708.3505645452697,2553.302164173811,3559.3886385988894
38,i,54.29562802208983,0.0734157088906855,118.97966026763982,299.7566864643124,2119.4651060280135,2827.342468983667,3394.0449010117013
39,e,56.298770081608325,0.0927617402875498,114.53174375717359,374.42075021442236,1969.9775464810398,2403.4210919303614,3482.8192497198097
40,a,58.52553164412672,0.129965646819997,116.7078684193337,559.6301948978561,1423.2587726014192,2344.9911310114503,3371.351404409433
41,i,60.65782746534607,0.06151045880029926,127.0330613265452,264.86916344199255,2060.9396811541296,2852.2692904176247,3457.89060593009
42,e,62.71198393157773,0.06299861506160198,117.84222123354915,419.1382794687721,1898.5664962256228,2413.340523629281,3539.529834784371
43,5,62.914333703985214,0.05208546914541756,118.73225285326255,383.45372109956605,1711.3154528529146,2428.777772033437,3599.2866712471387
44,e,64.68923129428524,0.09474594863594632,119.60579013690806,406.52538933475336,1950.2479799232424,2495.3734856905435,3432.420802408993
45,5,64.86364423329913,0.04861310453573253,119.70435729237386,406.162192622573,1769.799075503075,2436.8386601446214,3502.227335883386
46,O,66.86075386117096,0.10317883411663333,116.42755104630284,499.05517709493756,995.6316239096415,2466.954252484665,3577.1230604420707
47,i,68.93814624141002,0.053573625406713184,120.86926613221432,311.1017860058137,2187.8859203181396,3043.8948343237025,3447.0446225539017
48,O,71.07950661417415,0.15328009491365435,114.5347451124964,511.85511050043027,1076.6084693892417,2327.889209710148,3308.5713043225924
49,O,73.15156170718572,0.07936833393587506,117.662736501248,536.8647138161014,1046.004714158916,2238.916741031799,3398.5319626466694
50,5,73.37172987559975,0.058038094190607126,115.95574221386056,372.5645972583975,1686.6817266825528,2235.188104482047,3309.2733183658856
51,E,77.55208837390818,0.11657224046831514,112.5746412617582,445.92462175279644,1775.7038347563105,2264.8675007186243,3383.1158672371985
52,a,79.63001586119184,0.10367488620373423,115.71637021759953,576.3350059840678,1395.6707596882843,2252.511903166753,3346.7325852290596
53,e,81.78697397101199,0.10665119872633966,121.55913985596362,371.64014844872355,2031.797350812346,2521.8591530846447,3530.7507316477813
54,E,83.69122271865804,0.11012356333601757,119.93948979944635,457.2078262407411,1802.9400998648853,2351.720831306478,3570.6834606626294
