id,phoneme,time,duration,F0,F1,F2,F3,F4
1,e,2.075176496093741,0.09077753193915727,126.50501768169042,357.1120553502342,1860.118478896095,2517.8359208222428,3413.7013850961202
2,a,4.138301379022296,0.10218672994243948,116.67685712140974,511.9098118626062,1599.3269874587786,2447.5716926242794,3473.867277506976
3,E,6.153884644019069,0.10218672994243948,115.49075919734446,465.51159799344435,1690.2155521059406,2233.540873701265,3370.813473594903
4,o,8.2511367085039,0.1537761470007588,114.73374773941384,399.18643550785737,870.1876761032296,2509.0870130523067,3464.6659566205435
5,a,10.350315477274656,0.12004460507801085,119.96822744210769,593.0157938282478,1540.1206915818616,2443.927984712088,3792.625935792455
6,5,10.588065166921211,0.03968416696793753,120.37131831334938,345.64447203201564,1732.610741158423,2705.9817331788145,3589.296452264747
7,a,12.264704964846615,0.06795913593259327,112.36338355623242,661.2793700502722,1291.7048010083167,2299.1892431120496,3474.058205675009
8,5,12.468542893515384,0.052581521232516686,115.784633544,401.6166748909151,1556.8050150801716,2305.7746305995397,3305.5951862103434
9,i,14.320547407156415,0.08234464645846984,117.82406850781773,305.8140428140198,2156.519376036052,2490.682334915176,3013.2755216310816
10,i,16.243904887253436,0.06696703175839502,120.09435804725244,274.4583832864741,2097.4763687447694,2874.433613399711,3340.446959687677
11,e,18.27617455249997,0.08432885480686636,115.45148712085695,394.49412200767455,1922.44250066258,2506.721693894603,3287.0078507380617
12,o,20.349339338729273,0.0967301569843464,116.10761090689019,491.588738850222,1236.843476268094,2412.0076330352595,3448.3743608423747
13,i,22.39194713954692,0.09623410489724547,117.75797778170295,348.6631647859283,2058.0302924199455,2741.002573966948,3412.4210426866402
14,a,24.42439575133336,0.1205406571651082,112.32754842227853,595.4436210840174,1197.7711280893325,2509.892431956677,3769.268068175293
15,5,24.583352117389147,0.05406967749381408,117.38177053089363,428.3941461644928,1465.9974823637074,2391.945385193527,3518.964089766874
16,o,26.681160743113946,0.08978542776495857,116.5892915542482,433.6709618109589,966.3955027217564,2254.8848622430537,3381.138749913491
17,a,28.59826694172376,0.11260382377152213,114.73902334239783,569.244311082705,1418.240064288395,2167.0974031020623,3367.226862944014
18,I,28.891613944254438,0.033235489835647065,99.86276714484822,261.0018284015214,1531.4050520193005,2614.257549517259,3813.9825439031574
19,O,30.71782332519463,0.0967301569843464,118.23904710318804,533.9638513328882,1196.6916820558888,2159.6691717001504,3298.522110758706
20,5,30.92600728526027,0.05555783375511325,110.83557678876493,398.66964088312,1501.633044782955,2265.2824913337668,3134.979155375454
21,i,32.78495652812073,0.08780121941656205,115.73051004100277,303.3469991649994,2154.541626600912,2321.1642748003273,3133.359805323972
22,5,32.96303922738935,0.08730516732946114,110.34105276713808,330.439042551507,1858.2490391623944,2577.398753200511,3547.9802056407484
23,a,34.77506176596391,0.10367488620373423,115.05171502592356,569.2289656738945,1434.5916736488045,2349.822130693137,3463.7093370429493
24,5,35.00808780951352,0.07887228184877415,104.57431753931587,379.54829630277357,1738.096079806537,2450.9219285478184,3369.124629702764
25,e,37.17268582886027,0.1116117195973274,120.6344141616212,346.4748252254004,1936.5625158324365,2499.9588654557883,3394.1434284231746
26,e,39.34400884335405,0.11409198003281773,120.97160594087111,355.391280204572,1886.0662655687265,2406.8556200494636,3424.0567248060124
27,a,41.26351634414125,0.1294695947328961,114.80770556006688,591.5110047136649,1391.2465507478164,2501.481003844371,3718.3501115974354
28,U,41.55831202380422,0.038692062793735715,102.96987023885296,262.2870122800518,1569.9111590938935,2980.2827001179353,3634.3972501870394
29,E,43.47075550964157,0.07837622976167324,117.47959936161729,457.9056038365659,1836.186016282586,2522.6762233850686,3661.3448563534243
30,5,43.784717001646364,0.06647097967129413,104.53430464066652,330.07984152762964,1713.0179563841791,2458.173447507016,3294.088893251253
31,E,45.59654129623232,0.09772226115854464,119.19154224895144,461.88094047626817,1895.7104798815894,2505.3102821767147,3610.2137563476686
32,5,45.87070018388215,0.058534146277708025,112.99243469104326,379.5677594449591,1719.0484497399088,2438.2099410695178,3600.497927907909
33,E,47.80592216242531,0.11855644881671168,112.6665771917857,436.2170192567948,1749.3322863915464,2353.1145119368484,3586.7713606706047
34,O,49.96550042426336,0.08879332359076386,115.5777842483818,519.0902366584401,1065.2160347663769,2193.5418240650492,3257.1954105046416
35,5,50.227555817834315,0.05109336497122285,107.80531387406202,342.5325636552333,1739.25163267195,2361.0647599719696,3394.009231910868
36,u,52.224785155608345,0.058038094190607126,121.57927639200136,314.26031002664786,1145.8585951978184,2214.5313055547567,3417.346933671981
37,5,52.43064677175451,0.05406967749381408,113.5536646638162,335.60226478026846,1699.1895259832131,2409.6541583807984,3565.148860979228
38,i,54.29562802208983,0.0734157088906855,118.9763153459716,283.7826411512967,2124.961895450618,2830.4507562221465,3403.2909062137087
39,e,56.298770081608325,0.0927617402875498,114.63572584681289,386.9839545255313,1971.0895302444037,2431.8004782063226,3467.4093727721115
40,a,58.52553164412671,0.129965646819997,116.59857883103071,570.2489274903538,1452.7567389124322,2319.964562682313,3376.312299664069
