id,phoneme,time,duration,F0,F1,F2,F3
1,i,4.15322568684931,0.06313548750263899,165.76514511914442,331.84329747696165,1901.5398075100898,2749.515468679329
2,U,4.3225466788919995,0.05307850719248499,156.16474766623983,295.39635510347966,1579.727944100145,2220.87902685456
3,u,6.176701301279791,0.10299824607438302,164.55294001746245,384.6709821289159,800.17489409173,2467.1007765601894
4,5,6.395421194525111,0.061155208606665006,130.48726655559227,353.1655156309219,1663.1390215190027,2679.656785836293
5,i,8.20937509717632,0.09817020328964399,167.6679295977457,333.2205805175574,2196.7620586740477,2815.2616451438926
6,5,8.35226311869298,0.077785133754091,145.15940076029875,369.0896680605691,2001.0214319691552,2756.758679467466
7,O,10.022234934689683,0.114800128437073,136.00781222034965,581.311418568249,1049.3811726796982,2375.4039507106536
8,I,10.234538015107802,0.042915935864326,127.852368547117,306.083443163674,1825.565684343014,2745.57918500383
9,\~e,12.0784479242631,0.08797766852186803,137.0322490226711,520.9473988463358,1901.1518604275766,2591.590313172942
10,5,12.3025323094915,0.049889775442278,141.3107472442884,426.9838711233022,1692.283415244296,2723.955501143734
11,a,14.243797700180599,0.076712235357483,133.260038820933,716.3926569987076,1289.9584388107571,2198.80298413376
12,5,14.434966149544698,0.0525720214338,132.69609729144486,501.8331052709539,1616.9071234820385,2535.9648574751413
13,e,16.423160315491202,0.120164620420113,156.2633959538419,417.74989586731533,1902.3625469380206,2514.031184167417
14,U,16.662113898609398,0.047207529450759005,145.9995948327176,349.5312215215869,1432.333339314416,2500.270019944968
15,a,18.37523817873407,0.11372723004046399,123.90588332942609,691.5111248688926,1551.0565871071276,2197.945471292284
16,5,18.573765537211603,0.053644919830407985,133.92465910735748,393.1136692841638,1667.8442300841234,2780.2077707513868
17,\~e,20.439733845357,0.071347743374442,138.41885889147136,469.9873100868159,2035.1391388934037,2475.652507884474
18,U,20.67740141775828,0.043452385062628995,147.286789249673,344.6207802196408,1552.3006322126637,2606.576040631214
19,O,22.513415379412997,0.08422252413374,139.06512253977556,617.0344534182748,1063.2699547918844,2165.9355251166867
20,5,22.692802523966897,0.035405647088068995,138.91174356955577,456.78599694278626,1607.149634134295,2561.438688762052
21,a,24.3250949323629,0.11265433164385598,130.24386080678792,788.4251204595407,1421.2737161112784,2290.37586728178
22,I,24.588188729404695,0.034332748691462,148.85090225283875,305.117731905602,1891.4684954600198,2759.382446860665
24,a,26.415856621339003,0.14323193594718803,143.05749095192786,679.0884384997786,1545.1993542246958,2275.056776508439
25,zI,26.6219370837113,0.050426224640581996,138.79538196173635,288.752476292249,1717.3909105780285,2821.8302193209834
26,E,28.3578699135335,0.09334216050491098,144.29676260432842,577.8991796954275,1788.1641274696808,2437.3802448083193
27,5,28.5724907479601,0.035405647088068995,146.6594061863885,409.09488119251506,1664.85460012923,2779.755683868785
28,o,30.302009014157303,0.11319078084215996,140.15742569129267,430.9033758128192,912.3787462432101,2571.1518159076154
29,ZI,30.544697164111,0.065446802193094,142.35377939490428,273.22931249115175,1772.7083388391286,2797.6095146662556
30,e,32.3692097535265,0.11748237442859695,147.14394237831374,395.2626991110383,2092.6940748154834,2792.4335693984226
31,ZI,32.5722006628057,0.063301005399879,115.04494465528015,246.26012429342032,1872.5091011875315,2829.0321978809743
32,E,34.3016543579544,0.125529112403157,137.3008738779244,559.5307226241912,1949.801517966416,2610.532179289507
33,I,34.5048378020015,0.051499123037196,135.70647880833897,329.7297889089444,1758.8481436432403,2766.9629347524315
34,e,36.432649147614605,0.11640947603199002,150.20394199451525,390.383272942279,2036.9114289805393,2605.4372399653494
35,I,36.612593318919295,0.038087893079592004,136.8621768806645,312.86767412105326,1752.1319478046075,2638.032461350492
36,e,38.40227845473861,0.068129048184616,135.3918870194676,444.9360522161287,2017.6911499157916,2487.5315040490086
37,I,38.6978619630042,0.063301005399879,134.15995728023628,296.4204947822956,1902.7220851291386,2810.0713228899617
38,\~a,40.3971025458326,0.11158143324725199,146.31598733615564,464.10218512618553,1439.3901149224582,2509.2307935622684
