phoneme,time,duration,F0,F1,F2,F3
5,50.840393833136794,0.044525283459237,140.48127717587948,424.104910671888,1692.49952760109,2697.03001639229
E,46.610593454916895,0.125529112403157,134.241333245807,547.909899022296,1929.4975636674499,2598.41493196195
I,43.6868172075004,0.0407701390711125,134.4575647910255,302.1212855877925,1807.106662790495,2772.763507544725
O,68.9990468192379,0.114800128437073,136.750253701899,616.906388918947,1042.712800568455,2381.931960912595
U,81.1736977501935,0.045598181855851,140.889094586067,319.958804595803,1588.244859462575,2495.35479926745
a,78.98399630804545,0.113727230040464,131.70414658479052,753.872355096581,1471.78627986612,2274.61818427851
e,44.5371790208591,0.11640947603198651,140.14176631482002,410.49879350709546,2071.783921918158,2654.390701914923
i,67.01399678325085,0.08207672734052449,168.29191986933978,330.6172219344512,2171.3473899918126,2770.8178553729504
o,62.86882374624609,0.09924310168625552,140.68306482568977,437.727469284714,832.2748169427082,2590.6325302712726
u,6.17670130127979,0.10299824607438302,164.634739024606,361.94820469314203,717.731537121662,2479.01404743004
