id,phoneme,time,duration,F0,F1,F2,F3
1,i,4.15322568684931,0.063135487502639,165.168891240541,332.425847921767,1884.3591879029102,2765.86232936532
2,U,4.3225466788919995,0.053078507192485,158.0068184266855,315.965117349796,1588.04025050779,2175.62440997962
3,u,6.17670130127979,0.10299824607438302,164.634739024606,361.94820469314203,717.731537121662,2479.01404743004
4,5,6.3954211945251105,0.061155208606665006,132.092110521666,373.383159931801,1672.49994728755,2663.4039162642302
5,i,8.20937509717632,0.09817020328964399,170.0994238242815,337.50904010898,2202.60821991199,2396.0994625131198
6,5,8.352263118692981,0.077785133754091,147.10844336011348,382.583853102378,2029.4624619829697,2741.8888804663147
7,O,10.022234934689699,0.114800128437073,135.477474897072,582.150799330105,1042.712800568455,2381.931960912595
8,I,10.234538015107802,0.042915935864326,127.49755569363501,311.117026965986,1840.54802057661,2788.4278452813396
9,\~e,12.0784479242631,0.08797766852186802,134.698008329493,504.096645474449,1984.8165529092103,2581.23926722057
10,5,12.3025323094915,0.049889775442278,141.98584053520202,430.09228026927497,1692.49952760109,2714.56218792172
11,a,14.2437977001806,0.076712235357483,131.70414658479052,729.7033841446839,1297.817785382235,2205.194000747785
12,5,14.4349661495447,0.0525720214338,131.67318521439898,512.180829510387,1636.13668407296,2462.740234520145
13,e,16.4231603154912,0.120164620420113,156.182889416298,419.18851594549795,1926.77660171228,2542.3638597427
14,U,16.662113898609398,0.047207529450759005,145.905431409704,354.05671171418703,1435.4183774682401,2495.35479926745
15,a,18.37523817873405,0.113727230040464,121.4059662847285,702.1465173138815,1548.6286709619449,2174.3801698699945
16,5,18.5737655372116,0.05364491983040799,133.935181824887,402.0253031521795,1676.030611734785,2769.14508756591
17,\~e,20.439733845357,0.071347743374442,135.438539785373,448.01319671164197,2058.10004586167,2503.77217478495
18,U,20.6774014177583,0.043452385062628995,147.39431363718,362.321075569784,1560.4253404848998,2578.64327038363
19,O,22.513415379413,0.08422252413374001,136.750253701899,616.906388918947,1061.7232341433998,2178.20517730267
20,5,22.692802523966897,0.035405647088068995,138.869183887816,458.88741162942995,1619.6234957244048,2575.5364313300647
21,a,24.3250949323629,0.112654331643856,126.46600138808549,797.6837767601726,1426.585164916305,2295.3602615931795
22,I,24.5881887294047,0.034332748691462,149.6136238905275,312.2460493265295,1897.3231503275547,2763.09621967351
24,a,26.415856621339003,0.14323193594718803,140.523656266303,717.526992686228,1517.0329548733498,2219.3141501407
25,zI,26.621937083711302,0.050426224640581996,138.4699572720535,289.629058203253,1712.253306263885,2826.03038657083
26,E,28.357869913533502,0.093342160504911,142.574836590852,583.6237681200221,1823.2251053968548,2413.31331521605
27,5,28.572490747960103,0.035405647088068995,146.5467600152005,414.8902291507735,1670.147089871845,2784.60151466365
28,o,30.3020090141573,0.11319078084216,137.33168035756648,424.75302122856544,868.1945381288099,2592.53450998784
29,ZI,30.544697164111,0.065446802193094,142.329829337871,278.598387442214,1785.8407223696697,2800.67303987909
30,e,32.369209753526505,0.11748237442859698,148.592775012339,397.1047290350515,2094.7961574417004,2774.6239089986198
31,ZI,32.5722006628057,0.063301005399879,129.939115549771,250.279514317002,1832.2234024531301,2826.16247154979
32,E,34.3016543579544,0.125529112403157,134.241333245807,564.0212697271411,1963.49320935286,2598.41493196195
33,I,34.504837802001504,0.051499123037196,136.28264465231348,335.63231380331,1759.83354321654,2723.593517266765
34,e,36.4326491476146,0.11640947603199002,150.393924591043,391.26502749900203,2061.785213209715,2653.97796591331
35,I,36.612593318919295,0.038087893079592004,137.53287026577402,314.2688486756495,1753.36400908628,2637.614372511625
36,e,38.4022784547386,0.068129048184616,135.002994838048,450.561797779833,2048.36105880308,2505.00717033584
37,I,38.6978619630042,0.063301005399879,133.400235165759,288.725590930438,1898.32046381915,2820.8364224634
38,\~a,40.397102545832595,0.11158143324725199,142.13110995891,468.083977131876,1436.9307447143601,2483.330048065285
39,U,40.61477011823379,0.047207529450759005,142.971203278084,349.030653542054,1483.98667519689,2514.02174362035
