phoneme,time,duration,F0,F1,F2,F3,F4
5,49.75972522234844,0.054218779169206796,128.68141722250772,412.99126177732535,1714.266346829359,2620.9728097025645,3497.987818557235
E,52.44151047658956,0.11854969563236106,143.54717293608374,544.8995923961194,1842.5749778579127,2624.2475929171114,3487.394676705334
I,56.41302138978534,0.051919674015606265,127.33434314227206,334.0387110066831,1851.804432263485,2753.0552738012034,3467.0468131567727
O,59.017042680977575,0.10998043090919854,137.9798826945991,601.6666122290904,1070.2767659196732,2354.4883826522027,3396.906774572671
U,42.86972283777195,0.059136374583592693,131.97323119602132,348.8714672973324,1598.201165870394,2416.7674537925845,3163.215718652099
\~a,49.0712524557708,0.09645266249998219,157.4987133977507,549.1882150610761,1297.178297142982,2421.5105193710733,3595.859394684032
\~e,64.11503447089125,0.09319394408621484,145.53494128060933,477.8949586815796,2024.7662161593078,2619.7207432612763,3543.9808985727022
\~i,30.508274301704528,0.11465024327275586,165.74804116940598,345.04737461378454,1817.0463444103307,2735.8629354792306,3713.0566283458597
\~o,58.11280192644572,0.11086191149207282,149.40853770432838,594.5307674728377,937.4381679045295,2569.26928528873,3230.625060748989
a,50.631930522148416,0.11776195066815677,136.9983949019934,757.9730823778921,1470.220074155634,2365.148577804014,3598.5504173065997
e,28.685106902734827,0.10777787544693265,153.46270404106994,424.0438014532118,1981.0819759411922,2614.9643361136623,3452.961233926259
i,42.97547536084793,0.08744563356402998,163.4181615511337,321.54636111943546,2089.597263896188,2773.9101733505254,3402.6018659770766
o,37.90869141210891,0.10534209791205384,148.21438992756717,443.8524595115993,946.9774739401989,2535.9781170417455,3343.044364207659
u,40.40426394530301,0.11426387927092918,162.36908622267973,366.5723060613757,994.7008924234518,2428.090131594864,3523.484985573019
