id,phoneme,time,duration,F0,F1,F2,F3,F4
1,e,2.457637429134592,0.09084138022759536,173.18038752662636,428.09984055418124,1958.6975226058557,2593.725538312565,3687.584351840148
2,U,2.6476984859718846,0.064123327219479,148.88829405578036,403.3852237903237,1512.589101749343,2456.534035367872,3129.092548055025
3,\~a,4.199257001467978,0.09484908817881356,153.2716756749063,554.0027470797278,1418.1803752275287,2428.1134463671424,3674.505255309355
4,U,4.406016841435345,0.06612718119508809,144.26669890400714,383.7240771351905,1501.9668064298608,2455.2135602506023,3135.837502787109
5,E,5.741944465965518,0.1242389464877416,132.61277652136332,515.3090546419584,1884.4153155851639,2804.1150996883257,3616.4439960993323
6,I,5.9223298635263895,0.08215801299995817,129.0815011414094,345.6289339365617,1977.06711405358,2757.9289386571663,3623.3317248278527
7,o,7.375309059151824,0.14494543756903155,147.7647430659416,428.2553101226369,1006.8530104222099,2671.1691007719587,3218.8272448864063
8,U,7.542049629241147,0.05811176529265349,130.60228458506924,359.87161152115095,1465.845189343482,2420.895813278764,3046.2762342627907
9,a,8.876137651334526,0.12089918986172775,128.77122376422741,804.9085291264099,1490.5417592594742,2422.78185170503,3697.5318720692103
10,5,9.128681061895355,0.06345537589427508,116.85905440386757,398.7900735969052,1728.4765007460999,2685.083940157251,3107.1358868267644
11,a,10.494591811095177,0.06813103517069763,129.88840294063644,730.3913644818159,1326.2086087072234,2337.8857686396373,3590.5555384728955
12,5,10.682954084802398,0.06145152191866642,121.07503677291024,483.7604238013918,1652.2226870892034,2411.431403639573,3643.3508796548917
13,\~i,12.07317345044492,0.1275787031137554,160.74249593319811,338.3418957041975,2206.3113050501047,2891.8016177908285,4278.5600446791605
14,i,13.665690733243222,0.08349391565036335,149.13574839918238,301.31616139542353,2029.0529771589997,2798.3422290296617,3508.4215642116137
15,U,13.879778767909775,0.07414259709752358,131.75234307125078,341.77285700256493,1633.954760671097,2251.0276884757104,3237.7175178525167
16,e,15.305288949529306,0.057443813967450914,143.38894494579472,470.35423656309865,2077.1341544526867,2538.848648477161,3465.846375423262
17,I,15.524376984195861,0.057443813967450914,126.96961130447399,330.4897112736368,1831.6955132408323,2771.5097283860646,3347.1587399784507
18,\~o,17.002601673226344,0.10486835805685503,148.1066792293168,695.1512712372768,857.1212212719751,2824.2737771984307,3239.558059608061
19,i,18.704003346740826,0.08549776962597377,167.18382857778386,331.7117127418568,2028.031606471031,2798.33860715556,3504.504854071923
20,U,18.867346350570006,0.05811176529265082,129.047050270331,323.53975488411527,1564.486647967919,2197.1813982256817,3120.6720776507755
21,a,20.357067031435673,0.12624280046334846,138.13483659124935,763.9137524704548,1383.9666023734326,2416.802633642161,3580.398725555944
22,5,20.522850504770233,0.04786562080883172,129.81546496686008,498.5016198768585,1611.68923883849,2796.135051386105,3711.2959526945174
23,o,22.038191616548673,0.093276594396702,158.7024433170198,476.85798268419376,829.7009558627823,2475.244654598275,3503.7825820475045
24,U,22.242178175461802,0.0582978714979383,132.20927327855424,351.72371861049794,1473.111710763052,2265.065892841363,3223.776643649302
25,a,23.65435876550145,0.09082194717573701,138.03155994185036,846.5557438279646,1480.6785927373007,2303.2635911191137,3582.7380756399752
26,I,23.917779813964938,0.04663829719835277,132.18025665735163,335.58967088732413,1931.6091301105344,2723.715499132367,3549.117205701344
27,O,25.306789537551264,0.09076279771874596,132.65985610182162,623.1259285415588,1081.2720562503996,2265.941940214667,3348.1239930568663
28,5,25.497626596663427,0.06645133404408554,119.52140218589892,454.13810247447054,1689.2763993638318,2423.4977183911114,3641.862259689428
29,\~i,27.040786400819112,0.12479884686327836,162.21156745460448,333.66556868283453,2256.0937117156823,2416.6052348297007,3455.077784030725
30,5,27.173535500174292,0.05105407371679505,128.341068296767,404.87965169877475,1995.5309505932792,2670.3092352783297,3471.600510572549
31,a,28.62375723741391,0.1264196111082576,139.2266733856967,741.2465253757118,1485.9963023789714,2367.306446862426,3626.289323905986
32,5,28.835923784773,0.059157894941684226,123.09253393627895,435.1126905714998,1689.5002388907844,2757.0116568516614,3570.431348700873
