id,phoneme,time,duration,F0,F1,F2,F3
1,i,3.31632678619613,0.056824976710276864,128.02728323170737,307.30979102502016,2026.3389993663834,2806.5830372951573
2,I,3.509894963239907,0.04533228479134488,133.79562719382665,390.63588307875233,1622.5415982880584,2418.688347045251
3,o,5.169641572011896,0.11811933361124982,123.07493215921689,393.441997359562,1078.889368654777,2484.3958730658464
4,U,5.3304400913679695,0.0638482884385132,122.51855246765544,383.4930652581641,1252.7237617853714,2415.5583690267777
5,a,6.953946964069946,0.07725642901060059,113.59659353019197,670.3235219410685,1258.7111663679495,2397.164316220372
6,5,7.156561764570193,0.05044014786642581,124.21924074615409,428.87462040121,1352.576592434237,2528.46309718115
7,o,8.751427201413128,0.08811063804514951,114.9662383066584,421.16914817395536,1064.09056475843,2574.8499090073233
8,I,8.962342279410384,0.06512525420728467,121.4753188921193,373.4997698055331,1424.2025461178648,2385.668126911998
9,o,10.573380272323313,0.04405531902257387,107.34882282071854,407.77464805031616,1139.0501896540711,2650.5292055752734
10,a,10.781409133991685,0.1155654020737078,113.64858898685719,602.1488113463218,1341.695762518901,2393.1648334872425
11,u,12.662871343518608,0.0804488434325279,123.19824393844637,463.8598880676135,1200.5161304312007,2581.6111301484643
12,5,12.88208669901287,0.06640221997605522,117.04805471285113,439.80901863944126,1386.59116834963,2383.201299807803
13,e,14.569594870197587,0.07470249747306212,120.83276450129142,448.2375482285051,1675.3800469432397,2472.406172546853
14,U,14.779232982426075,0.058101942479046535,121.0850891414999,371.4436976996089,1300.2539279779228,2429.3432075236847
15,a,18.469791371002284,0.10024181284846634,105.56455061091759,610.258084873159,1401.964022338925,2313.696707852995
16,U,18.740193220322443,0.07853339477937382,118.37031189568968,368.1713570370757,1349.8763326352002,2468.7750146666144
17,E,20.44415781002763,0.11109602188301436,119.762592982865,442.59334106445357,1655.7902911011388,2452.922586914687
18,I,20.656250686284682,0.04852469921327085,121.09918168773541,362.3599946125729,1515.7211520505443,2403.0979935393516
19,E,22.421330180139137,0.08172580920129846,116.26680259081425,456.6240118873589,1675.5652229812613,2430.2741572250466
20,U,22.64065339870848,0.056186493825890686,120.21048008893138,362.132170709037,1305.6682925509879,2404.605059386811
21,E,24.36720819334968,0.11237298765178494,119.11372275283115,464.3051094404481,1590.2639911764998,2405.2505207344443
22,U,24.620056111132286,0.05490952805712368,118.04797342601348,355.83056297575695,1330.7467507694423,2432.1664306373455
23,a,26.41926251368595,0.0887491209295348,114.04373810631121,668.785277805423,1456.1978519793083,2252.3142678001823
24,U,26.65316297552107,0.06448677132290115,122.83325609755634,382.47872683498883,1320.6592562776482,2478.1372345764944
25,a,28.384582329254826,0.10279574438600747,109.77896744421905,677.9560963314691,1421.1619549827844,2334.919708083173
26,U,28.65775383626269,0.05682497671027775,124.52790560622202,365.7141056418232,1373.9908974353539,2420.3911370610895
27,E,30.365415017491628,0.10981905611424024,118.23735027882535,473.5266903524365,1697.508199853666,2442.6654405504214
28,5,30.52865960531016,0.061932839785360023,121.28160852644815,464.26706511334805,1441.3181949183265,2450.8844058639147
29,i,32.29237183945756,0.08683367227637717,115.43817250113281,273.2047513293711,1960.1493788956577,2806.7263079289187
30,U,32.43571559478507,0.050440147866424916,125.09946065331151,391.8321152736096,1617.5749551946283,2478.770943175921
31,i,34.229859281232834,0.09194153535145944,126.27190329075447,298.3197926448819,1959.100200720143,2703.8487193760748
32,U,34.37841876271052,0.05235559651958255,131.54388013945973,378.6019662019243,1256.3163183916283,2296.2056758019917
33,O,36.10041388322269,0.09066456958268533,122.17947827040045,523.5777655364548,996.8650344032819,2378.751769501793
34,5,36.30399075583257,0.0491631820976508,127.48223151404542,458.10305276784345,1489.5951492045724,2307.221420959354
35,i,38.08412409222222,0.06576373709166461,123.93662221820806,301.00917112056857,1985.262598147821,2822.1584078898745
36,U,38.2982315846414,0.04405531902257565,123.8054414928891,368.17539857229804,1373.1963042962445,2386.6040269836312
37,E,40.09834621676937,0.09258001823584294,123.266639785006,463.3381695045764,1616.8700373159195,2457.5672216909807
38,I,40.312885161488865,0.035116558641185236,121.58756260626714,319.6050226477774,1457.1898676580972,2356.4784540696587
39,E,42.25843958547409,0.09385698400461706,125.04883864825592,489.6361351249117,1630.7971630420486,2473.969550094009
40,5,42.46906621251968,0.04213987036941802,124.52591671997816,466.28622611405007,1462.1955990056956,2461.0384125647724
41,5,44.505887237568935,0.03958593883187689,119.81137523252913,392.301399285481,1418.0213782546223,2892.7727762375594
42,a,46.34695506823582,0.10918057322985676,113.26419273150837,639.7712392308642,1480.1542827736591,2404.298936290529
43,5,46.59788753736529,0.04980166498203431,121.66172407498846,394.3291646140057,1465.0297272030832,2474.213737865103
45,e,48.43721049856006,0.08364125785445252,120.70194930897361,405.31802045183855,1793.7593037256675,2512.9397330141533
46,I,48.599178120609835,0.04724773344450029,114.84515672397758,285.28515686128605,1545.7007122648054,2314.7887681395096
47,o,50.49145001423942,0.07661794612621264,116.27912293271649,452.9900376836867,961.1119250696534,2435.9856749533274
