id,5,E,I,O,U,a,e,i,o,u
1,,,,,,0.1004873831886144,,,,
2,,,,,0.06753184354073527,,,,,
3,,,,,,,0.08049795750055644,,,
4,0.05240471058761065,,,,,,,,,
5,,,,,,,0.08860177872544472,,,
6,,,0.051324201090959136,,,,,,,
7,,,,,,,0.061048786560824915,,,
8,0.061048786560824915,,,,,,,,,
9,,,,,,,0.048622927349329714,,,
10,0.05780725807086995,,,,,,,,,
11,,,,,,,0.1004873831886144,,,
12,,,0.06429031505077988,,,,,,,
13,,,,,,0.07725642901060148,,,,
14,,,,,0.049703436845980775,,,,,
15,,,,,,,,0.07293439102399546,,
16,,,0.052404710587611085,,,,,,,
17,,,,,,0.10913145916182998,,,,
18,0.05780725807086995,,,,,,,,,
19,,,,,,,,,0.07509541001729758,
20,,,0.049444517797699206,,,,,,,
21,,,,,,,,0.04916318209765791,,
22,,,0.05618649382589425,,,,,,,
23,,,,,,0.13236241333984464,,,,
24,0.07023311728236692,,,,,,,,,
25,,,,,,,,,0.10426916642689933,
26,,,0.05780725807086995,,,,,,,
27,,,,,,0.049703436845980775,,,,
28,0.05618649382589425,,,,,,,,,
29,,,,,,,0.07509541001729758,,,
30,,,,,0.0653708245474327,,,,,
31,,,,,,0.10480942117522217,,,,
32,,,,,0.056186493825890686,,,,,
33,,,,,,0.08536025023548888,,,,
34,0.057267003322543523,,,,,,,,,
35,,,,,0.03889834187946661,,,,,
36,,,,,,0.12966113959821254,,,,
37,,,,,,0.08427974073884315,,,,
38,,,,,0.06158904130915487,,,,,
39,,,,,,,,,0.10967171391015283,
40,,,0.04862292734932794,,,,,,,
41,,0.09022254297042308,,,,,,,,
42,,,,,0.07509541001729758,,,,,
43,,,,,,,,0.09400432620870447,,
44,,,0.0831992312421832,,,,,,,
45,,,,0.09400432620870447,,,,,,
46,,,,,0.056186493825890686,,,,,
47,,,,,,,,,,0.09616534520201014
48,0.05996827706417208,,,,,,,,,
49,,0.09022254297042308,,,,,,,,
50,,,0.06158904130915487,,,,,,,
51,,,,,,,0.08103821224888462,,,
52,,,0.049703436845980775,,,,,,,
53,,,,,,,,0.06320980555413057,,
54,,,,,,,,0.08914203347377025,,
55,,,,,0.09238356196372877,,,,,
57,,0.09022254297042308,,,,,,,,
58,0.0696928625340334,,,,,,,,,
59,,,,,,,,,0.0950848357053573,
60,,,0.05888776756751924,,,,,,,
61,,,,,,0.10859120441350713,,,,
62,0.05942802231584921,,,,,,,,,
63,,,,,,,0.10048738318862148,,,
64,,,0.05456572958091499,,,,,,,
65,,,,,,,,0.08373948599050607,,
66,,,,,0.051324201090963584,,,,,
67,,,,,,0.1123729876517814,,,,
68,,,,,0.060508531812502035,,,,,
69,,,,,,,,,0.0664513340440891,
70,0.09022254297042308,,,,,,,,,
71,,,,,,,,,0.08914203347377736,
72,0.09832636419531582,,,,,,,,,
73,,0.11291324240011134,,,,,,,,
74,,,0.0713136267790162,,,,,,,
75,,0.09670559995034013,,,,,,,,
76,,,0.05402547483258502,,,,,,,
77,,,,,,,0.08968228822210733,,,
78,0.06320980555413769,,,,,,,,,
79,,,,,,,,,0.11939629938002838,
80,,,,,0.08590050498382595,,,,,
82,0.08968228822209312,,,,,,,,,
83,,,,,,,0.09076279771875306,,,
84,0.0713136267790162,,,,,,,,,
85,,,,,,,0.09022254297042308,,,
86,,,,,0.05402547483259923,,,,,
87,,,,,,,,,0.0918433072153988,
88,,,,,0.0578072580708664,,,,,
89,,,,,,,0.07617591951394331,,,
90,,,0.04970343684598788,,,,,,,
91,,,,,,,0.09130305246706882,,,
92,,,0.0783369385072632,,,,,,,
93,,,,,,0.06915260778571053,,,,
94,,,,,0.05078394634263361,,,,,
95,,,,,,,,,0.0664513340440891,
96,,,,,0.04916318209765791,,,,,
97,,,,0.0783369385072632,,,,,,
98,0.042139870369425125,,,,,,,,,
99,,,,,,0.10102763793693724,,,,
100,,,0.04159961562109515,,,,,,,
101,,,,,,,,0.0626695508057935,,
102,,,,,0.06591107929575912,,,,,
103,,,,,,,0.08698101448047169,,,
104,,,,,0.056186493825890686,,,,,
105,,,,,,0.08806152397711743,,,,
106,,,0.0578072580708664,,,,,,,
107,,,,,,0.08860177872544739,,,,
108,0.057807258070880614,,,,,,,,,
109,,,,,,,,0.0610487865608178,,
110,,,,,0.051324201090963584,,,,,
111,,,,,,,,,0.06266955080580773,
112,,,0.051324201090963584,,,,,,,
113,,,,,,,,,0.051324201090949366,
114,,,0.051324201090949366,,,,,,,
115,,,,,,,,0.07185388152734618,,
116,,,,,0.06212929605747775,,,,,
117,,,,,,0.11021196865847573,,,,
118,0.07077337203068622,,,,,,,,,
119,,,,,,0.08319923124219031,,,,
120,,,,,0.07779668375893323,,,,,
