phoneme,time,duration,F0,F1,F2,F3
5,57.286580127172655,0.0658510509903896,123.64823100437353,450.536248807353,1501.8112465625934,2444.2115708054916
E,61.089334645430576,0.09605729425234413,110.8418586753719,504.7637968823824,1645.2160630795383,2497.659526700562
I,60.39561077915913,0.05717301915788107,124.58790211732996,391.6105302930251,1680.6190573018525,2458.968300415803
O,74.15965005029639,0.08617063235798383,111.77854611303036,510.2157612583077,1013.7874621032447,2435.7848256399266
U,70.14167910301292,0.061228871476935766,125.10526212387374,392.9958818137452,1360.2547634936836,2375.8406795115548
a,60.41052546381925,0.09613356551092972,112.36099340412503,669.5621750531174,1393.0242594135532,2407.4762772514196
e,52.64764893889927,0.08292910386802436,119.7251876775701,414.75726078452993,1793.9349711131797,2509.437122945864
i,66.79684931735493,0.07197393813808024,120.52738433744418,291.73374768684994,1987.7401466307763,2755.3803122021213
o,72.86803607792545,0.08467265328307699,116.9714461750395,446.2055936570738,984.8735844320876,2496.468730452611
u,48.162814491717995,0.09616534520201014,122.75577036553857,359.5243217014703,1064.4720507744055,2465.685283514832
