id,phoneme,time,duration,F0,F1,F2,F3
1,a,1.562530776784903,0.1004873831886144,117.37745607300859,655.9654217037972,1452.9491045614457,2330.728440816225
2,U,1.7164928057458375,0.06753184354073527,133.83211926103547,384.8631131572141,1505.9137892856563,2368.894648765705
3,e,3.3352021938190624,0.08049795750055644,120.58595364765354,411.9800512357909,1788.1579270224279,2557.869866952359
4,5,3.4693125043570063,0.05240471058761065,125.02991262290278,485.75276222713967,1602.0172013622516,2328.4699426168304
5,e,5.1143507466632245,0.08860177872544472,123.14197805343453,418.49820729905576,1817.0398059190466,2491.428927417991
6,I,5.262507680657642,0.051324201090959136,121.20044469433918,375.0483300339557,1659.4165839407779,2327.741779926554
7,e,6.883673592335036,0.061048786560824915,124.9398674554975,393.1849598441974,1978.477820682628,2657.504689253737
8,5,7.113822115121863,0.061048786560824915,123.55340461201796,518.5653473153767,1516.509260940126,2527.5622345946804
9,e,8.763985163810183,0.048622927349329714,117.62677710340134,405.89815198874396,1905.1029971822934,2620.661528178637
10,5,9.001294705590311,0.05780725807086995,120.9501420534271,405.6734456666966,1427.9997666291642,2495.411087712006
11,e,10.689462780372072,0.1004873831886144,118.29377196129244,375.26683175960153,1781.3448566926465,2436.229956420405
12,I,10.902312576900526,0.06429031505077988,121.26989555311931,383.6684952601609,1711.822341089371,2430.0689467090124
13,a,12.620983262324888,0.07725642901060148,111.94842367484826,690.9076727592688,1418.8405510531964,2366.276542216391
14,U,12.879892419726115,0.049703436845980775,128.02611976233575,371.8462221550587,1385.7873495093647,2438.0740150003853
15,i,14.606272626633029,0.07293439102399546,120.84223513065764,295.3821464713279,1978.1646746999272,2884.4907745295754
16,I,14.824800385174877,0.052404710587611085,126.38485775321243,374.5506118527811,1647.2120145388562,2503.2386602871547
17,a,16.635994666399046,0.10913145916182998,107.57116044977201,683.0971990505863,1462.7735726300416,2326.8004874896064
18,5,16.856270322139,0.05780725807086995,122.778737755321,431.465414471124,1547.7302146599573,2498.8857340932163
19,o,18.638288520382538,0.07509541001729758,114.85028398740761,422.1215589220246,921.0701116385333,2549.2664559697005
20,I,18.896657423035432,0.049444517797699206,130.47517780848275,375.31188974770276,1616.8932665427085,2446.216764659592
21,i,20.80173016554307,0.04916318209765791,126.7855390341141,307.3293553792685,1763.187224648084,2252.701307625573
22,I,21.06659269948782,0.05618649382589425,131.44895630385204,383.8781258910898,1706.9188825614401,2479.559949575897
23,a,22.96911477640183,0.13236241333984464,114.50738415694893,650.7671620123515,1421.6885003349907,2477.6001763100467
24,5,23.217886226537992,0.07023311728236692,123.46516659711521,483.11903052348697,1534.2327032217431,2528.0308721347506
25,o,25.10269053422853,0.10426916642689933,116.70104378843077,550.3016432088369,1007.1545768490224,2606.7900789554105
26,I,25.265699186645946,0.05780725807086995,130.4681833119762,372.49170557084676,1519.431874415183,2381.4492012560663
27,a,27.084193462156357,0.049703436845980775,114.77963858752956,689.4151310461368,1273.0206859986952,2377.1535350844724
28,5,27.2674775291039,0.05618649382589425,124.98525361345594,475.35997991373347,1429.46422175463,2445.328293203215
29,e,29.103780121228326,0.07509541001729758,117.05937600163588,421.2820622319924,1762.2009964360907,2400.8783372776807
30,U,29.317043039551983,0.0653708245474327,128.93923238841518,376.3655760305976,1367.815350270676,2360.5434004327144
31,a,31.269128519475913,0.10480942117522217,118.4532491362234,683.9724079831458,1344.5112696172707,2391.7630646674183
32,U,31.426734624410066,0.056186493825890686,133.5788529388966,380.2789510109563,1188.0870648646887,2262.205625860701
33,a,33.248458586070626,0.08536025023548888,106.98178570726759,713.3909670353247,1448.6135533488766,2426.0690845925265
34,5,33.45712405187754,0.057267003322543523,128.9346291552934,407.9911319809321,1453.7095255966344,2388.750004939903
35,U,35.21010979557548,0.03889834187946661,102.73852837718646,404.9815650690408,1213.0409988357435,2459.0829705011984
36,a,35.43663539101297,0.12966113959821254,108.39333654080887,670.3707136649847,1323.0267334941866,2371.258463957187
37,a,37.38610549144376,0.08427974073884315,118.6879321375164,688.1380792253572,1393.654617634974,2391.633489376543
38,U,37.61165656171386,0.06158904130915487,133.1198204473467,359.02851807172493,1206.6163256389455,2368.465597502405
39,o,39.493508924355424,0.10967171391015283,114.51754866108423,450.56236979933504,935.0608062029137,2610.0122923348363
40,I,39.73795833650497,0.04862292734932794,134.63248079448002,363.18578865457687,1676.7575467252514,2492.936924653913
41,E,41.72907986557342,0.09022254297042308,113.16333529401788,419.7971056908543,1792.948868659743,2626.314215691699
42,U,41.99947207995456,0.07509541001729758,126.4177311675536,375.3661197168135,1387.1743432333192,2425.1430441337525
43,i,44.041223352618715,0.09400432620870447,116.93412873642444,287.3622335911833,2109.303744981308,2931.081822378726
44,I,44.262049837418935,0.0831992312421832,129.93579660324414,374.18296273343714,1808.0105545875408,2576.8664451791965
